City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
534,serra talhada,-7.9919,-38.2983,23.950000000000045,83,31,2.51,BR,1704157396
535,neiafu,-18.65,-173.9833,30.379999999999995,74,20,5.14,TO,1704157551
536,minas de marcona,-15.2119,-75.1103,16.930000000000007,84,100,5.32,PE,1704157552
537,tahe,52.3333,124.7333,-22.309999999999974,91,11,1.56,CN,1704157532
538,suva,-18.1416,178.4415,29.710000000000036,66,75,3.6,FJ,1704157553
539,margate,51.3813,1.3862,11.610000000000014,94,100,5.81,GB,1704157554
540,revda,56.801,59.9303,-22.869999999999973,95,100,3.01,RU,1704157554
541,calama,-22.4667,-68.9333,20.270000000000042,32,0,9.77,CL,1704157555
542,drayton valley,53.2168,-114.9854,-2.579999999999983,79,72,0.59,CA,1704157556
543,olavarria,-36.8927,-60.3225,15.670000000000016,86,0,2.85,AR,1704157307
544,waddan,29.1614,16.139,13.28000000000003,45,12,2.99,LY,1704157558
545,mirny,62.5353,113.9611,-15.449999999999989,98,100,0.53,RU,1704157559
546,ryotsu-minato,38.0833,138.4333,6.620000000000006,65,81,3.08,JP,1704157559
547,mejit,10.2753,170.8646,27.379999999999995,75,100,7.97,MH,1704157560
548,kijang,35.2442,129.2139,4.850000000000022,61,23,2.67,KR,1704157561
549,felixstowe,51.9637,1.3511,10.970000000000029,86,100,6.71,GB,1704157561
550,gao,16.6362,1.637,19.890000000000043,13,34,4.6,ML,1704157562
551,dolinsk,47.35,142.8,-1.6699999999999586,76,96,2.16,RU,1704157563
552,salalah,17.0151,54.0924,23.05000000000001,78,0,1.54,OM,1704157499
553,sur,22.5667,59.5289,21.74000000000001,61,1,2.2,OM,1704157565
554,bria,6.5423,21.9863,20.330000000000044,31,6,2.11,CF,1704157566
555,port douglas,-16.4833,145.4667,29.340000000000032,71,15,3.09,AU,1704157286
556,hadibu,12.65,54.0333,23.920000000000016,73,66,4.5,YE,1704157568
557,nyurba,63.2842,118.3319,-19.29999999999998,98,100,3.03,RU,1704157569
558,coronel dorrego,-38.7187,-61.2873,21.379999999999995,55,100,4.79,AR,1704157570
559,ballina,-28.8667,153.5667,24.320000000000054,81,100,6.12,AU,1704157572
560,fort bragg,35.139,-79.006,7.750000000000002,48,40,3.6,US,1704157573
561,auki,-8.7676,160.7034,31.110000000000014,65,99,1.68,SB,1704157573
562,armacao de buzios,-22.7469,-41.8817,23.03000000000003,86,100,1.59,BR,1704157575
563,jiwani,25.05,61.7417,23.160000000000025,64,80,3.94,PK,1704157575
564,mogocha,53.7333,119.7667,-22.35999999999999,96,100,0.76,RU,1704157576
565,tara,56.8944,74.371,-1.1099999999999572,95,100,4.34,RU,1704157577
566,nabire,-3.3667,135.4833,27.770000000000042,77,89,1.23,ID,1704157578
